Type|Title|Start Date|End Date|Location|Description
Workshops|Workshop de Desenvolvimento Web com JavaScript para Iniciantes #CPNatal2 #COMUNIDADEDEVOPSRN|18 de Junho de 2019 às 13:15|18 de Agosto de 2019 às 14:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Break the problem #CPNatal2 #COMUNIDADELEP|16 de Agosto de 2019 às 22:00|16 de Agosto de 2019 às 22:45|Natal, Rio Grande do Norte, Brazil|
Workshops|O que é o heroku e como utilizá-lo #CPNatal2 #COMUNIDADEDEVOPSRN|16 de Agosto de 2019 às 23:00|16 de Agosto de 2019 às 23:45|Natal, Rio Grande do Norte, Brazil|
Workshops|Modelando com Thinkercad #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 10:30|17 de Agosto de 2019 às 12:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Robótica Sustentável: Carrinho a propulsão a ar #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 10:30|17 de Agosto de 2019 às 12:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Introdução ao HTML e CSS: Colorindo o mundo web #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|17 de Agosto de 2019 às 11:00|17 de Agosto de 2019 às 13:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Afinal, o que é uma metodologia ágil? #CPNatal2 #COMUNIDADELEP|17 de Agosto de 2019 às 12:00|17 de Agosto de 2019 às 13:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Primeiros passos para um DIY home Jarvis #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|17 de Agosto de 2019 às 12:00|17 de Agosto de 2019 às 13:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Pensamento Computacional Desplugado #CPNatal2 ##OpenCampus|17 de Agosto de 2019 às 12:30|17 de Agosto de 2019 às 13:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Luminária Vingadores #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 12:30|17 de Agosto de 2019 às 13:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Minicurso de Pitch - Como prender a atenção e gerar interesse da forma certa #CPNatal2 #COMUNIDADELEP|17 de Agosto de 2019 às 13:15|17 de Agosto de 2019 às 14:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Design Gráfico com software livre, Inkscape no Marketing Digital #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|17 de Agosto de 2019 às 13:15|17 de Agosto de 2019 às 14:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Arduíno na Educação do Futuro #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 14:00|17 de Agosto de 2019 às 15:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Programando com o Scratch #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 14:00|17 de Agosto de 2019 às 15:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Oficina de Ferramentas #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|17 de Agosto de 2019 às 15:15|17 de Agosto de 2019 às 16:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Automação Residencial Básica #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 15:30|17 de Agosto de 2019 às 17:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Minicompetição de Planadores no ambiente escolar #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 15:30|17 de Agosto de 2019 às 17:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Deploy de aplicações com Docker e Jenkins #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 16:15|17 de Agosto de 2019 às 17:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Quebrando captchas vulneráveis com processamento de imagens #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|17 de Agosto de 2019 às 16:15|17 de Agosto de 2019 às 17:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Quebrando captchas vulneráveis com processamento de imagens #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|17 de Agosto de 2019 às 17:15|17 de Agosto de 2019 às 18:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Arte na Educação do Futuro #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 17:30|17 de Agosto de 2019 às 19:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Arduino Básico - Sensor de Proximidade com Leds #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 17:30|17 de Agosto de 2019 às 19:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Cloud Study Jams #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 18:35|17 de Agosto de 2019 às 19:15|Natal, Rio Grande do Norte, Brazil|
Workshops|Minicurso de Gestão de Tempo e Produtividade #CPNatal2 #COMUNIDADELEP|17 de Agosto de 2019 às 19:15|17 de Agosto de 2019 às 20:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Git básico e alguns serviços #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 19:20|17 de Agosto de 2019 às 20:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Usando Ansible para fazer deploy da sua primeira aplicação no Heroku #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 23:00|18 de Agosto de 2019 às 00:15|Natal, Rio Grande do Norte, Brazil|
Workshops|Minicompetição de Planadores no ambiente escolar #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 10:30|18 de Agosto de 2019 às 12:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Modelando com Thinkercad #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 10:30|18 de Agosto de 2019 às 12:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Precisando de dados? Colete-os com Web Scraping #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|18 de Agosto de 2019 às 11:00|18 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Workshops|PyautoGUI: brincando com a GUI#CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|18 de Agosto de 2019 às 12:00|18 de Agosto de 2019 às 13:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Como aprender baseado em projetos? #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 12:30|18 de Agosto de 2019 às 13:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Luminária Vingadores #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 12:30|18 de Agosto de 2019 às 13:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Robótica Sustentável: Carrinho Sustentável Elétrico #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 14:00|18 de Agosto de 2019 às 15:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Avaliação Concurso Leve seu Robô #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 14:00|18 de Agosto de 2019 às 15:30|Natal, Rio Grande do Norte, Brazil|
Workshops|TDD com Python #COMUNIDADEASBOYZINHASARRETADAS|18 de Agosto de 2019 às 14:05|18 de Agosto de 2019 às 15:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Workshop de Desenvolvimento Web com JavaScript para Iniciantes CPNatal2 #COMUNIDADEDEVOPSRN|18 de Agosto de 2019 às 14:15|18 de Agosto de 2019 às 15:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Robô com rodas usando Arduíno #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|18 de Agosto de 2019 às 15:15|18 de Agosto de 2019 às 16:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Ferramentas para a Educação 4.0 #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 15:30|18 de Agosto de 2019 às 17:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Automação Residencial Básica #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 15:30|18 de Agosto de 2019 às 17:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Introdução desenhos e animações em Javascript #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|18 de Agosto de 2019 às 16:15|18 de Agosto de 2019 às 17:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Eu nunca...: Desvendando o machismo de todo dia #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|18 de Agosto de 2019 às 17:05|18 de Agosto de 2019 às 18:00|Natal, Rio Grande do Norte, Brazil|
Workshops|[intro a python] Programação Orientada a Problemas #COMUNIDADEDUMONTHACKERSPACE|18 de Agosto de 2019 às 17:15|18 de Agosto de 2019 às 18:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Git para equipes e contribuição em projetos de software livre #CPNatal2 #COMUNIDADEDEVOPSRN|18 de Agosto de 2019 às 17:15|18 de Agosto de 2019 às 18:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Arduino Básico - Sensor de Proximidade com Leds #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 17:30|18 de Agosto de 2019 às 19:00|Natal, Rio Grande do Norte, Brazil|
Workshops|IoT na Educação do Futuro #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 17:30|18 de Agosto de 2019 às 19:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Cerimônia Abertura Campus Party Natal #CPNatal2|16 de Agosto de 2019 às 19:00|16 de Agosto de 2019 às 20:00|Natal, Rio Grande do Norte, Brazil|
Conferência|A mulher na indústria de jogos #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|16 de Agosto de 2019 às 22:00|16 de Agosto de 2019 às 23:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Segurança em Nuvem: a ameaça fantasma #CPNatal2 #COMUNIDADEDEVOPSRN|16 de Agosto de 2019 às 22:00|16 de Agosto de 2019 às 22:45|Natal, Rio Grande do Norte, Brazil|
Conferência|5 passos para Colocar seu Projeto (e sua Carreira) na Direção Certa #CPNatal2|16 de Agosto de 2019 às 22:00|16 de Agosto de 2019 às 22:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Como conectar o cérebro com um Arduino #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|16 de Agosto de 2019 às 22:00|16 de Agosto de 2019 às 22:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Expectativa vs Realidade de trabalhar com dados #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|16 de Agosto de 2019 às 23:00|17 de Agosto de 2019 às 00:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Design Thinking: Solucionando problemas de maneira criativa #CPNatal2 #COMUNIDADELEP|16 de Agosto de 2019 às 23:00|16 de Agosto de 2019 às 23:45|Natal, Rio Grande do Norte, Brazil|
Conferência|O Guia de sobrevivência na CPNatal2 #CPNatal2|16 de Agosto de 2019 às 23:00|16 de Agosto de 2019 às 23:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Bug Bounty - Um pouco sobre #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|16 de Agosto de 2019 às 23:00|16 de Agosto de 2019 às 23:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Utilização de sucata no ensino da Robótica Educacional #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 10:30|17 de Agosto de 2019 às 11:30|Natal, Rio Grande do Norte, Brazil|
Conferência|Gerenciamento de backup com Bareos #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 11:00|17 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Dieta Digital - O que é e por que é uma tendência mundial? #CPNatal2 #COMUNIDADELEP|17 de Agosto de 2019 às 11:00|17 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Trabalho remoto para Devs 101 #CPNatal2|17 de Agosto de 2019 às 11:00|17 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Adafruit Circuit Playground Express: Uma alternativa ao Arduino e que suporta Python #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|17 de Agosto de 2019 às 11:00|17 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Destravando a sua criatividade #CPNatal2|17 de Agosto de 2019 às 11:00|17 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Transformação digital, o que não é! #CPNatal2|17 de Agosto de 2019 às 11:00|17 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Transparência Pública e o Controle Social #CPNatal2|17 de Agosto de 2019 às 11:00|17 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Wireless do sertão - técnicas de baixo custo e impressão 3D para fabricação de dispositivos de radiofrequência #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 11:45|17 de Agosto de 2019 às 12:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Comece sua startup global em Natal #CPNatal2|17 de Agosto de 2019 às 12:00|17 de Agosto de 2019 às 13:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Falha Critica - Sua aplicação/código está realmente seguro? #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 12:00|17 de Agosto de 2019 às 13:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Comece sua startup global em Natal #CPNatal2|17 de Agosto de 2019 às 12:00|17 de Agosto de 2019 às 13:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Marketing Digital e o Consumidor 2.0 #CPNatal2|17 de Agosto de 2019 às 12:00|17 de Agosto de 2019 às 13:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Segurança da informação no desenvolvimento de novas aplicações #CPNatal2|17 de Agosto de 2019 às 12:00|17 de Agosto de 2019 às 13:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Pedofilia: um desafio frente as novas tecnologias #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 13:00|17 de Agosto de 2019 às 13:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Cidade para mulheres feita por mulheres #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|17 de Agosto de 2019 às 13:05|17 de Agosto de 2019 às 13:55|Natal, Rio Grande do Norte, Brazil|
Conferência|DevSecOps - Continuous Application Security Testing #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 13:15|17 de Agosto de 2019 às 14:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Nota Potiguar Cidadania fiscal inovação e tecnologia #CPNatal2|17 de Agosto de 2019 às 13:15|17 de Agosto de 2019 às 14:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Parque da Cidade - Espaço de conhecimento, lazer e qualidade de vida #CPNatal2|17 de Agosto de 2019 às 13:15|17 de Agosto de 2019 às 14:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Ser uma Artista Mulher #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|17 de Agosto de 2019 às 14:00|17 de Agosto de 2019 às 15:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Sustentabilidade da TI – Escola de TI para a gestão pública e RN CONSIGSustentabilidade da TI – Escola de TI para a gestão pública e RN CONSIG #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 14:00|17 de Agosto de 2019 às 14:45|Natal, Rio Grande do Norte, Brazil|
Conferência|A relação da tecnologia e a saúde mental #CPNatal2|17 de Agosto de 2019 às 14:15|17 de Agosto de 2019 às 15:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Programação para Noobs #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 14:15|17 de Agosto de 2019 às 15:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Como a Inteligência Artificial atua na Gestão de Projetos? #CPNatal2|17 de Agosto de 2019 às 14:15|17 de Agosto de 2019 às 15:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Hacking Mifare Classic Cards #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|17 de Agosto de 2019 às 14:15|17 de Agosto de 2019 às 15:00|Natal, Rio Grande do Norte, Brazil|
Conferência|O Poder do Mágico: Como aumentar drasticamente as chances de alguém fazer o que você quer #CPNatal2 #COMUNIDADELEP|17 de Agosto de 2019 às 14:15|17 de Agosto de 2019 às 15:00|Natal, Rio Grande do Norte, Brazil|
Conferência|HACTUS CRIATIVE - RoboLed e Cosplay ao Maker #CPNatal2|17 de Agosto de 2019 às 14:15|17 de Agosto de 2019 às 15:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Interface Cérebro-Máquina: Decodificando o Cérebro #CPNatal2|17 de Agosto de 2019 às 14:15|17 de Agosto de 2019 às 15:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Educação e Tecnologia #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 15:00|17 de Agosto de 2019 às 15:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Iot na saúde #CPNatal2|17 de Agosto de 2019 às 15:15|17 de Agosto de 2019 às 16:00|Natal, Rio Grande do Norte, Brazil|
Conferência|RUMO AO VALE! - Uma experiência que é real #CPNatal2|17 de Agosto de 2019 às 15:15|17 de Agosto de 2019 às 16:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Fruggy: Desenvolvendo soluções criativas e tecnológicas para os ODS #CPNatal2|17 de Agosto de 2019 às 15:15|17 de Agosto de 2019 às 16:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Angular Extreme performance #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 15:15|17 de Agosto de 2019 às 16:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Gestão de Projetos #CPNatal2 #COMUNIDADELEP|17 de Agosto de 2019 às 15:15|17 de Agosto de 2019 às 16:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Hackeando o Marketing das grandes empresas #CPNatal2|17 de Agosto de 2019 às 15:15|17 de Agosto de 2019 às 16:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Aprendendo a negociar com Harvey Specter #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|17 de Agosto de 2019 às 15:15|17 de Agosto de 2019 às 16:00|Natal, Rio Grande do Norte, Brazil|
Conferência|A privacidade morreu?? #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 16:00|17 de Agosto de 2019 às 16:45|Natal, Rio Grande do Norte, Brazil|
